time,value
3048.0,297.10939856895857
3052.0,298.6047237452989
3056.0,300.69147856118184
3060.0,303.33895751613994
3064.0,306.5159547915214
3068.0,310.19078651425775
3072.0,314.33126046170696
3076.0,318.9046061534284
3080.0,323.87737975081996
3084.0,329.2153585925059
3088.0,334.883439291583
3092.0,340.84555122433096
3096.0,347.06459455150485
3100.0,353.502409449551
3104.0,360.1197815244067
3108.0,366.8764874201763
3112.0,373.7313840024584
3116.0,380.64254373058316
3120.0,387.5674376919159
3124.0,394.46316626036884
3128.0,401.286735595666
3132.0,407.9953763733791
3136.0,414.5468993568026
3140.0,420.9000807866226
3144.0,427.0150691355562
3148.0,432.8538035860441
3152.0,438.3804336586461
3156.0,443.56172877167216
3160.0,448.36746619437224
3164.0,452.7707859426216
3168.0,456.74850176264744
3172.0,460.2813585443983
3176.0,463.3542282868654
3180.0,465.95623895522147
3184.0,468.08083302380254
3188.0,469.72575502361093
3192.0,470.89296989666246
3196.0,471.58851632753607
3200.0,471.8223013920491
3204.0,471.6078446989271
3208.0,470.96198153236395
3212.0,469.90453518249393
3216.0,468.45796858651016
3220.0,466.64702459696787
3224.0,464.4983627910494
3228.0,462.0401990444798
3232.0,459.30195252019917
3236.0,456.31390361161596
3240.0,453.10686585902505
3244.0,449.7118747786794
3248.0,446.1598966272952
3252.0,442.48156017366205
3256.0,438.7069145295225
3260.0,434.8652160430261
3264.0,430.9847471827638
3268.0,427.09267016778693
3272.0,423.2149176921313
3276.0,419.37612230026497
3280.0,415.5995847518197
3284.0,411.9072802542407
3288.0,408.3199001043858
3292.0,404.8569253960472
3296.0,401.5367291036402
3300.0,398.37670281895845
3304.0,395.3934043244794
3308.0,392.60272179838705
3312.0,390.02004983822275
3316.0,387.6604719255246
3320.0,385.5389436034629
3324.0,383.6704704424478
3328.0,382.0702746560082
3332.0,380.7539439264645
3336.0,379.73755568683333
3340.0,379.03776992960053
3344.0,378.671883696852
3348.0,378.6578408260099
3352.0,379.0141913340348
3356.0,379.759996056717
3360.0,380.9146738146571
3364.0,382.4977903941831
3368.0,384.5287909059411
3372.0,387.02667948391576
3376.0,390.00965266225
3380.0,393.49469495976416
3384.0,397.4971470633222
3388.0,402.0302583941122
3392.0,407.10473664280306
3396.0,412.7283069796385
3400.0,418.905293056994
3404.0,425.6362306805105
3408.0,432.91752325920737
3412.0,440.7411460407013
3416.0,449.09440393442054
3420.0,457.95974570177214
3424.0,467.3146356973356
3428.0,477.13148329336894
3432.0,487.3776295297722
3436.0,498.0153901898615
3440.0,509.0021542045702
3444.0,520.2905359456836
3448.0,531.8285796423011
3452.0,543.5600140051603
3456.0,555.4245553098491
3460.0,567.3582576832273
3464.0,579.2939100498534
3468.0,591.1614799714258
3472.0,602.8886052955963
3476.0,614.4011349928035
3480.0,625.6237207255225
3484.0,636.4804605350486
3488.0,646.8955955354126
3492.0,656.794259656669
3496.0,666.1032812562606
3500.0,674.7520337867707
3504.0,682.6733306359652
3508.0,689.8043567033449
3512.0,696.0876262159019
3516.0,701.4719527285949
3520.0,705.9134133539887
3524.0,709.3762854030749
3528.0,711.8339303612097
3532.0,713.2695979961122
3536.0,713.6771226771178
3540.0,713.061484684261
3544.0,711.4392112526317
3548.0,708.8385951268559
3552.0,705.2997122865838
3556.0,700.8742250722191
3560.0,695.6249620493866
3564.0,689.6252714516917
3568.0,682.958150742475
3572.0,675.7151605318226
3576.0,667.9951366285646
3580.0,659.9027193404374
3584.0,651.5467242137452
3588.0,643.0383830646267
3592.0,634.4894880871665
3596.0,626.0104747231347
3600.0,617.7084807401017
3604.0,609.685419714452
3608.0,602.0361070640691
3612.0,594.8464760816562
3616.0,588.1919201572307
3620.0,582.1357955573027
3624.0,576.7281167306965
3628.0,572.0044731324679
3632.0,567.985193027047
3636.0,564.6747756871575
3640.0,562.0616088607104
3644.0,560.1179833319421
3648.0,558.8004108639403
3652.0,558.0502458082315
3656.0,557.7946042823401
3660.0,557.9475682449657
3664.0,558.4116553929017
3668.0,559.0795299675231
3672.0,559.8359245641338
3676.0,560.5597389507061
3680.0,561.1262786556774
3684.0,561.4095935761652
3688.0,561.2848750035965
3692.0,560.6308682108019
3696.0,559.3322570758233
3700.0,557.2819771460611
3704.0,554.3834141088716
3708.0,550.5524458933087
3712.0,545.7192886763696
3716.0,539.8301100303107
3720.0,532.8483764387298
3724.0,524.7559074331366
3728.0,515.5536144725935
3732.0,505.26190907522545
3736.0,493.9207712877656
3740.0,481.58947613428523
3744.0,468.3459821012851
3748.0,454.28599192607606
3752.0,439.5217019267229
3756.0,424.18026183023574
3760.0,408.40197246759385
3764.0,392.3382536826533
3768.0,376.14941919683264
3772.0,360.00229888176995
3776.0,344.06775186623065
3780.0,328.5181160800229
3784.0,313.524641104731
3788.0,299.2549514091463
3792.0,285.8705860675589
3796.0,273.52465886433214
3800.0,262.3596794027786
3804.0,252.50557169233207
3808.0,244.07792191100222
3812.0,237.17648177791276
3816.0,231.88394831768812
3820.0,228.26503484882232
3824.0,226.3658418941718
3828.0,226.21353051591734
3832.0,227.81629444797667
3836.0,231.16362147167624
3840.0,236.22682890050308
3844.0,242.95985296161916
3848.0,251.30026745099363
3852.0,261.1705034737305
3856.0,272.47923954993917
3860.0,285.1229300332813
3864.0,298.98743969930683
3868.0,313.9497533487988
3872.0,329.8797310001205
3876.0,346.64188136698556
3880.0,364.0971286028182
3884.0,382.10454962303555
3888.0,400.5230616322251
3892.0,419.2130417444053
3896.0,438.0378627588568
3900.0,456.86533121233333
3904.0,475.5690157469966
3908.0,494.02945559779766
3912.0,512.1352406083686
3916.0,529.7839556290938
3920.0,546.882983429198
3924.0,563.3501613569543
3928.0,579.1142879085592
3932.0,594.1154761666912
3936.0,608.3053519124765
3940.0,621.6470954053533
3944.0,634.1153276893375
3948.0,645.6958449807021
3952.0,656.3852081214623
3956.0,666.19019790852
3960.0,675.1271508398972
3964.0,683.2211929706513
3968.0,690.5053918341101
3972.0,697.0198476816186
3976.0,702.8107456929481
3980.0,707.9293904194286
3984.0,712.4312426323908
3988.0,716.3749769986242
3992.0,719.8215766099025
3996.0,722.8334774630267
4000.0,725.4737727918019
4004.0,727.8054840354065
4008.0,729.8909024241517
4012.0,731.791002741332
4016.0,733.5649287617662
4020.0,735.2695481565529
4024.0,736.9590732867416
4028.0,738.6847432823785
4032.0,740.4945621047706
4036.0,742.4330868950519
4040.0,744.5412607883908
4044.0,746.8562844809215
4048.0,749.4115211322265
4052.0,752.236429624377
4056.0,755.35652173262
4060.0,758.7933393463586
4064.0,762.5644484678032
4068.0,766.6834472692146
4072.0,771.159985972454
4076.0,775.9997966960483
4080.0,781.2047316706934
4084.0,786.7728083377249
4088.0,792.6982598115218
4092.0,798.9715890158827
4096.0,805.5796245227953
4100.0,812.5055757727904
4104.0,819.7290849965248
4108.0,827.2262728551669
4112.0,834.9697746480258
4116.0,842.9287639807047
4120.0,851.0689611328115
4124.0,859.3526241037243
4128.0,867.738521547431
4132.0,876.1818886317807
4136.0,884.6343693282141
4140.0,893.0439516625713
4144.0,901.354905708229
4148.0,909.5077370734609
4152.0,917.4391708261418
4156.0,925.0821818794598
4160.0,932.3660877431448
4164.0,939.2167183836943
4168.0,945.5566760402551
4172.0,951.305695491649
4176.0,956.3811126199471
4180.0,960.6984462231571
4184.0,964.1720949156784
4188.0,966.7161476462412
4192.0,968.2453029137897
4196.0,968.6758882713342
4200.0,967.9269683074997
4204.0,965.9215261125819
4208.0,962.5877003729706
4212.0,957.8600577873203
4216.0,951.6808785551632
4220.0,944.0014313325394
4224.0,934.78321331717
4228.0,923.9991310136155
4232.0,911.6345977051517
4236.0,897.6885246757388
4240.0,882.1741847235317
4244.0,865.119928420333
4248.0,846.5697358288179
4252.0,826.5835889214168
4256.0,805.2376526844436
